site_name,carcass_id,no_scavenge,partial_scavenge,mass_kg,kg_consumed,proportion_consumed,deployment_date_time,deployment_type_AM_PM,first_scavenger_date_time,full_scavenge_date_time,hours_to_first_scavenging_event,hours_to_full_scavenge,percent_developed_1km
Four Mile,162,FALSE,FALSE,0.11035,0.11035,1,2023-05-01T18:55:04Z,night,2023-05-02T04:00:32Z,2023-05-02T08:12:36Z,9.091111111111111,13.292222222222222,0.05675675675675675
Natural Bridges,163,FALSE,FALSE,0.13562,0.13562,1,2023-05-02T08:16:10Z,day,2023-05-02T08:35:16Z,2023-05-02T08:59:52Z,0.31833333333333336,0.7283333333333334,0.7444134078212291
Twin Lakes,164,FALSE,FALSE,0.12249,0.12249,1,2023-05-02T07:32:32Z,day,2023-05-02T08:56:12Z,2023-05-02T08:57:46Z,1.3944444444444444,1.4205555555555556,0.907163323782235
Bonny Doon,165,TRUE,FALSE,0.11928,0,0,2023-05-02T07:43:22Z,day,NA,NA,NA,NA,0.083596214511041
Panther,166,FALSE,FALSE,0.10473,0.10473,1,2023-05-02T08:05:16Z,day,2023-05-02T08:17:14Z,2023-05-02T08:17:14Z,0.19944444444444445,0.19944444444444445,0.05571428571428572
Four Mile,167,FALSE,FALSE,0.146,0.146,1,2023-05-02T08:28:42Z,day,2023-05-02T09:07:48Z,2023-05-02T09:07:48Z,0.6516666666666666,0.6516666666666666,0.05675675675675675
Natural Bridges,168,FALSE,TRUE,0.15238,0.13285,0.87183357399999994,2023-05-01T19:33:52Z,night,2023-05-02T06:41:52Z,NA,11.133333333333333,NA,0.7444134078212291
Twin Lakes,171,TRUE,FALSE,0.1183,0.1183,1,2023-05-01T18:55:52Z,night,NA,NA,NA,NA,0.907163323782235
Twin Lakes,173,FALSE,FALSE,0.13374,0.13374,1,2023-05-02T18:08:36Z,night,2023-05-02T18:30:14Z,2023-05-02T18:30:14Z,0.3605555555555556,0.3605555555555556,0.907163323782235
Natural Bridges,174,FALSE,TRUE,0.13944,0.03568,0.2558806655,2023-05-02T18:50:06Z,night,2023-05-02T18:57:24Z,NA,0.12166666666666667,NA,0.7444134078212291
Bonny Doon,175,FALSE,TRUE,0.11247,0.02368,0.2105450342,2023-05-02T16:52:34Z,night,2023-05-02T20:33:50Z,NA,3.687777777777778,NA,0.083596214511041
Panther,176,FALSE,FALSE,0.13384,0.13384,1,2023-05-02T17:09:56Z,night,2023-05-02T17:40:08Z,2023-05-02T17:40:08Z,0.5033333333333333,0.5033333333333333,0.05571428571428572
Four Mile,177,FALSE,FALSE,0.12548,0.12548,1,2023-05-02T17:32:12Z,night,2023-05-02T18:55:38Z,2023-05-02T18:55:38Z,1.3905555555555555,1.3905555555555555,0.05675675675675675
Bonny Doon,178,TRUE,FALSE,0.1361,0,0,2023-05-03T07:28:48Z,day,NA,NA,NA,NA,0.083596214511041
Panther,179,FALSE,FALSE,0.11009,0.11009,1,2023-05-03T07:46:28Z,day,2023-05-03T08:37:52Z,2023-05-03T08:37:52Z,0.8566666666666667,0.8566666666666667,0.05571428571428572
Four Mile,180,FALSE,FALSE,0.1564,0.1564,1,2023-05-03T08:14:00Z,day,2023-05-03T08:24:54Z,2023-05-03T08:24:54Z,0.18166666666666667,0.18166666666666667,0.05675675675675675
Blacks,181,FALSE,FALSE,0.14192,0.14192,1,2023-05-03T07:35:00Z,day,2023-05-03T07:50:06Z,2023-05-03T07:57:10Z,0.25166666666666665,0.36944444444444446,0.9261904761904762
Twin Lakes,182,FALSE,FALSE,0.1582,0.1582,1,2023-05-03T07:45:04Z,day,2023-05-03T07:51:32Z,2023-05-03T07:51:32Z,0.10777777777777778,0.10777777777777778,0.907163323782235
Natural Bridges,183,FALSE,FALSE,0.10077,0.10077,1,2023-05-03T08:12:10Z,day,2023-05-03T08:22:32Z,2023-05-03T09:33:38Z,0.17277777777777778,1.3577777777777778,0.7444134078212291
